real_inputs,given_candidate,target,predicted,top_candidates
"[12.0, 10.0, 20.0, 0.4]",[12.         14.79401574 20.65187178  0.4       ],295.93,295.11108,"[array([12.        , 14.79401574, 20.65187178,  0.4       ]), array([12.        , 13.13816011, 20.60660864,  0.4       ]), array([12.        , 14.83965415, 20.45255909,  0.4       ]), array([12.        , 12.84441118, 20.33365486,  0.4       ]), array([12.        , 14.93090576, 21.12841566,  0.4       ])]"
"[12.0, 10.0, 25.0, 0.3]",[ 9.99989457 10.46512142 16.41295556  0.37296518],247.65,247.43112,"[array([ 9.99989457, 10.46512142, 16.41295556,  0.37296518]), array([ 9.8346697 , 10.86461177, 15.        ,  0.36510614]), array([ 9.21258121, 10.        , 16.18996402,  0.39552053]), array([ 9.69420445, 11.99251392, 15.85859633,  0.39359917]), array([ 9.63367514, 10.        , 15.        ,  0.36979712])]"
"[12.0, 15.0, 15.0, 0.4]",[12.         14.01310547 22.20088161  0.2811612 ],296.79,296.52798,"[array([12.        , 14.01310547, 22.20088161,  0.2811612 ]), array([12.        , 13.59483474, 22.01744747,  0.29090633]), array([12.        , 14.4667997 , 21.73495133,  0.25940784]), array([12.        , 13.69556093, 21.92452116,  0.25088825]), array([12.        , 12.85852418, 22.09278154,  0.2931612 ])]"
"[12.0, 15.0, 20.0, 0.2]",[12.         13.39862064 22.05409177  0.33414819],297.94,297.5489,"[array([12.        , 13.39862064, 22.05409177,  0.33414819]), array([12.        , 14.21743188, 20.49372495,  0.35648093]), array([12.        , 14.85124831, 21.35940907,  0.33145375]), array([12.        , 14.22657048, 21.69680011,  0.33401935]), array([12.        , 14.98131009, 21.53340244,  0.32000545])]"
"[12.0, 20.0, 20.0, 0.3]",[12.         20.         25.          0.30298496],327.77,324.40762,"[array([12.        , 20.        , 25.        ,  0.30298496]), array([12.        , 20.        , 25.        ,  0.31080776]), array([12.        , 20.        , 25.        ,  0.32421684]), array([12.        , 20.        , 25.        ,  0.31849768]), array([12.        , 20.        , 25.        ,  0.30676514])]"
"[10.0, 20.0, 22.5, 0.3]",[12.         19.15683576 21.22511387  0.29260305],300.27,303.52475,"[array([12.        , 19.15683576, 21.22511387,  0.29260305]), array([12.        , 17.97079348, 20.27734479,  0.29538924]), array([12.        , 18.14393367, 20.0010657 ,  0.28350583]), array([12.        , 19.6712409 , 20.83595365,  0.28465744]), array([12.        , 18.92088447, 22.36566217,  0.27452759])]"
"[10.0, 20.0, 22.5, 0.25]",[10.77483759 10.9497732  17.83578688  0.39828355],272.03,271.9313,"[array([10.77483759, 10.9497732 , 17.83578688,  0.39828355]), array([11.02741961, 10.95242438, 19.29815356,  0.35157783]), array([10.24270139, 10.        , 17.98905534,  0.36606172]), array([10.42357954, 11.21635122, 19.23052265,  0.38087568]), array([10.83314819, 10.        , 18.43883255,  0.30985757])]"
"[9.0, 20.0, 22.5, 0.25]",[10.67827896 20.         16.12356913  0.30270198],252.5,248.0964,"[array([10.67827896, 20.        , 16.12356913,  0.30270198]), array([10.9429153 , 20.        , 18.11817969,  0.33557942]), array([10.85963718, 20.        , 15.75355412,  0.32238396]), array([10.53374642, 20.        , 16.29839961,  0.31445183]), array([10.4       , 20.        , 18.06120875,  0.34266135])]"
"[9.0, 12.5, 22.5, 0.25]",[ 8.4041339  14.36371565 20.53844408  0.38012685],231.97,231.87077,"[array([ 8.4041339 , 14.36371565, 20.53844408,  0.38012685]), array([ 8.00142182, 14.03435377, 21.09828971,  0.30337828]), array([ 8.        , 13.52196448, 21.02513345,  0.39053443]), array([ 8.79799816, 14.55816735, 20.71375552,  0.34339964]), array([ 8.60057695, 14.98123895, 20.04183935,  0.32263054])]"
"[8.0, 10.0, 15.0, 0.3]",[ 8.         10.         19.68439205  0.32171281],235.5,235.31299,"[array([ 8.        , 10.        , 19.68439205,  0.32171281]), array([ 8.        , 10.        , 18.06488349,  0.31862101]), array([ 8.        , 10.        , 19.59522044,  0.32099771]), array([ 8.        , 10.        , 19.67619467,  0.32264251]), array([ 8.        , 10.        , 17.17637579,  0.36576106])]"
"[8.0, 10.0, 15.0, 0.4]",[ 9.61451207 10.74961861 17.05271141  0.392688  ],252.02,251.80493,"[array([ 9.61451207, 10.74961861, 17.05271141,  0.392688  ]), array([ 9.44874267, 11.392912  , 15.13373539,  0.39276423]), array([ 9.58875716, 10.41628941, 18.651953  ,  0.39383886]), array([ 9.36550535, 10.23308036, 15.59400282,  0.39875511]), array([ 9.61451207, 10.74961861, 17.05271141,  0.392688  ])]"
"[8.0, 15.0, 20.0, 0.4]",[ 9.63684725 12.59039777 19.92634535  0.20897237],242.01,242.50005,"[array([ 9.63684725, 12.59039777, 19.92634535,  0.20897237]), array([ 9.83077173, 14.24443097, 18.86360148,  0.2       ]), array([ 9.39183632, 13.65629955, 17.91721008,  0.24646544]), array([ 9.16069068, 14.4265898 , 19.35143495,  0.21985592]), array([ 9.48525082, 12.78594084, 16.74554627,  0.2       ])]"
"[8.0, 20.0, 15.0, 0.4]",[ 8.         20.         19.70390951  0.30469863],206.28,204.68646,"[array([ 8.        , 20.        , 19.70390951,  0.30469863]), array([ 8.        , 20.        , 17.49315257,  0.30150108]), array([ 8.        , 20.        , 17.06897099,  0.3335078 ]), array([ 8.        , 20.        , 17.27673674,  0.32249635]), array([ 8.        , 20.        , 17.59706042,  0.38632929])]"
"[8.0, 20.0, 20.0, 0.2]",[ 8.60450809 13.36337329 25.          0.2       ],206.69,204.05704,"[array([ 8.60450809, 13.36337329, 25.        ,  0.2       ]), array([ 8.      , 13.092723, 25.      ,  0.2     ]), array([ 8.4791362 , 14.94810408, 25.        ,  0.2       ]), array([ 8.40691802, 13.75990017, 25.        ,  0.2       ]), array([ 8.34973328, 12.97572695, 25.        ,  0.2       ])]"
"[8.0, 20.0, 20.0, 0.4]",[ 9.10416253 14.66118069 18.77506591  0.24509255],242.06,242.50005,"[array([ 9.10416253, 14.66118069, 18.77506591,  0.24509255]), array([ 9.02842126, 14.55979815, 19.35713004,  0.2       ]), array([ 9.33563008, 14.20010225, 19.25254782,  0.2       ]), array([ 9.18132618, 12.57835781, 16.46691807,  0.2       ]), array([ 9.4684132 , 13.75043562, 17.44972969,  0.2095048 ])]"
"[10.0, 10.0, 15.0, 0.4]",[12.         16.08498731 18.76556915  0.28121626],291.99,291.27728,"[array([12.        , 16.08498731, 18.76556915,  0.28121626]), array([12.        , 15.731683  , 19.31344894,  0.27286668]), array([12.        , 19.60839571, 18.38370367,  0.28786157]), array([12.        , 15.12751609, 15.17907121,  0.26842368]), array([12.        , 16.        , 19.32504874,  0.28785206])]"
"[10.0, 15.0, 15.0, 0.3]",[10.60734177 20.         25.          0.20328336],269.29,270.73566,"[array([10.60734177, 20.        , 25.        ,  0.20328336]), array([11.73309792, 20.        , 25.        ,  0.22002308]), array([10.4       , 20.        , 25.        ,  0.21368615]), array([10.44686504, 20.        , 25.        ,  0.2       ]), array([10.39552796, 20.        , 25.        ,  0.2       ])]"
"[10.0, 20.0, 25.0, 0.2]",[10.39503746 20.         21.12486368  0.39658882],278.1,278.47385,"[array([10.39503746, 20.        , 21.12486368,  0.39658882]), array([10.67297436, 20.        , 20.28002242,  0.37602125]), array([10.7572793 , 20.        , 21.67712284,  0.38686709]), array([10.41186506, 20.        , 20.95100337,  0.39594948]), array([10.39082863, 20.        , 22.3704706 ,  0.39469138])]"
"[10.0, 20.0, 25.0, 0.3]",[10.43203656 20.         24.79446075  0.24677686],280.95,281.4282,"[array([10.43203656, 20.        , 24.79446075,  0.24677686]), array([11.71933542, 20.        , 23.10756692,  0.21213743]), array([10.97329604, 20.        , 24.79778597,  0.2       ]), array([11.38548708, 20.        , 24.1407901 ,  0.23120919]), array([10.4       , 20.        , 23.28451052,  0.21457613])]"
"[12.0, 10.0, 25.0, 0.2]",[ 8.61689272 11.59202942 21.          0.30214512],234.13,233.99812,"[array([ 8.61689272, 11.59202942, 21.        ,  0.30214512]), array([ 8.67504691, 10.71529454, 20.74032472,  0.31258281]), array([ 8.48103062, 10.        , 20.00353757,  0.30477054]), array([ 8.28541969, 12.06357253, 21.89786383,  0.32082702]), array([ 8.        , 10.82685109, 21.54757643,  0.31467071])]"
"[12.0, 15.0, 15.0, 0.2]",[11.01424804 19.85283742 23.75679408  0.22213796],271.93,272.4999,"[array([11.01424804, 19.85283742, 23.75679408,  0.22213796]), array([10.11176568, 19.87040092, 22.5822066 ,  0.20000227]), array([10.95070674, 18.67764794, 22.99981927,  0.2       ]), array([10.74883925, 19.35021252, 23.00746014,  0.21195621]), array([10.53290205, 19.85631504, 24.68243655,  0.20548626])]"
"[12.0, 15.0, 25.0, 0.4]",[12.         17.64475318 25.          0.4       ],288.0,287.8267,"[array([12.        , 17.64475318, 25.        ,  0.4       ]), array([12.        , 16.03229584, 25.        ,  0.4       ]), array([12.        , 16.42622777, 25.        ,  0.4       ]), array([12.        , 16.88403635, 25.        ,  0.4       ]), array([12.        , 18.56329131, 25.        ,  0.4       ])]"
"[12.0, 20.0, 15.0, 0.4]",[11.41345383 20.         21.18995999  0.2       ],279.25,279.18857,"[array([11.41345383, 20.        , 21.18995999,  0.2       ]), array([11.34463291, 20.        , 21.39224238,  0.20204747]), array([11.33423813, 20.        , 21.62776856,  0.2       ]), array([11.27411474, 20.        , 20.27782997,  0.2       ]), array([11.36007975, 20.        , 20.51122531,  0.2       ])]"
"[9.0, 20.0, 15.0, 0.3]",[ 9.01660575 12.87292488 25.          0.21520794],216.53,216.33563,"[array([ 9.01660575, 12.87292488, 25.        ,  0.21520794]), array([ 9.22546445, 14.36482311, 25.        ,  0.20194064]), array([ 9.2670707 , 14.31526028, 25.        ,  0.21677742]), array([ 9.44474626, 12.68130683, 25.        ,  0.21633622]), array([ 9.23559291, 14.95933844, 25.        ,  0.21796466])]"
"[10.0, 12.5, 15.0, 0.3]",[10.03956376 13.73077796 23.34652744  0.27182843],259.61,259.7236,"[array([10.03956376, 13.73077796, 23.34652744,  0.27182843]), array([11.66750136, 13.2263852 , 23.04666011,  0.28483207]), array([10.19323826, 13.03088626, 24.71755051,  0.29847609]), array([10.81065581, 13.94948938, 22.63984283,  0.27349846]), array([10.60631003, 13.21149733, 24.16476671,  0.29671246])]"
"[9.0, 20.0, 22.5, 0.3]",[ 9.68697297 13.62157702 19.3222891   0.34272666],247.16,247.35999,"[array([ 9.68697297, 13.62157702, 19.3222891 ,  0.34272666]), array([ 9.71321766, 14.02869246, 19.36499046,  0.30212109]), array([ 9.76894275, 13.2384234 , 19.19741154,  0.38212109]), array([ 9.1864192 , 13.29075278, 19.84802861,  0.3875388 ]), array([ 9.49612125, 14.79473807, 18.64907109,  0.33418061])]"
"[9.0, 20.0, 15.0, 0.25]",[ 8.         20.         16.29149055  0.32087666],212.82,204.68646,"[array([ 8.        , 20.        , 16.29149055,  0.32087666]), array([ 8.        , 20.        , 15.47508693,  0.38208229]), array([ 8.        , 20.        , 15.        ,  0.36852048]), array([ 8.        , 20.        , 16.18528704,  0.35229154]), array([ 8.        , 20.        , 16.83593938,  0.3280955 ])]"
"[9.0, 12.5, 15.0, 0.25]",[ 9.77886909 12.66758126 19.50053523  0.25874829],244.43,244.18866,"[array([ 9.77886909, 12.66758126, 19.50053523,  0.25874829]), array([ 9.66245322, 14.06091886, 19.0627141 ,  0.26544767]), array([ 9.77839501, 14.        , 18.16224864,  0.28782223]), array([ 9.23632397, 13.61110569, 15.44520446,  0.28424833]), array([ 9.26016805, 14.43022052, 19.40121203,  0.26111957])]"
