real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[10.0, 15.0, 25.0, 0.2]",[ 9.52913759 14.53945351 19.36151399  0.4       ],249.42,249.28705,"[array([ 9.52913759, 14.53945351, 19.36151399,  0.4       ]), array([ 9.38554985, 14.51771263, 19.03262257,  0.4       ]), array([ 9.33633174, 14.64234424, 18.89312751,  0.4       ]), array([ 9.33633174, 14.64234424, 18.89312751,  0.4       ]), array([ 9.24441513, 14.6190127 , 18.23560041,  0.4       ])]",0.029343843460083008
"[10.0, 20.0, 25.0, 0.4]",[11.3520506  15.01022566 20.30674459  0.2226524 ],306.28,284.22507,"[array([11.3520506 , 15.01022566, 20.30674459,  0.2226524 ]), array([11.3520506 , 15.01022566, 20.30674459,  0.2226524 ]), array([11.3520506 , 15.01022566, 20.30674459,  0.2226524 ]), array([11.3520506 , 15.01022566, 20.30674459,  0.2226524 ]), array([11.3520506 , 15.01022566, 20.30674459,  0.2226524 ])]",0.021270751953125
"[12.0, 15.0, 15.0, 0.3]",[12.         13.29652678 22.37949645  0.4       ],297.65,295.23798,"[array([12.        , 13.29652678, 22.37949645,  0.4       ]), array([12.        , 13.02154527, 22.49028611,  0.4       ]), array([12.        , 12.94482948, 22.39011389,  0.4       ]), array([12.        , 12.94482948, 22.39011389,  0.4       ]), array([12.        , 12.83121429, 22.41672629,  0.4       ])]",0.03282594680786133
"[12.0, 15.0, 25.0, 0.2]",[10.11412964 14.13489865 24.12231165  0.4       ],272.24,268.6641,"[array([10.11412964, 14.13489865, 24.12231165,  0.4       ]), array([10.11412964, 14.13489865, 24.12231165,  0.4       ]), array([10.28856297, 14.05079546, 24.35508886,  0.4       ]), array([10.08463486, 13.99390879, 24.19029576,  0.4       ]), array([10.43740252, 14.1670766 , 24.34938993,  0.4       ])]",0.023279428482055664
"[12.0, 20.0, 15.0, 0.3]",[ 9.01387607 19.60487218 17.42932631  0.4       ],278.4,245.08582,"[array([ 9.01387607, 19.60487218, 17.42932631,  0.4       ]), array([ 9.19690523, 19.68099608, 17.33659572,  0.4       ]), array([ 9.19690523, 19.68099608, 17.33659572,  0.4       ]), array([ 9.19690523, 19.68099608, 17.33659572,  0.4       ]), array([ 9.21998072, 19.92224935, 17.56017407,  0.4       ])]",0.02260446548461914
"[12.0, 20.0, 20.0, 0.4]",[10.83075761 16.82674594 17.29502005  0.4       ],337.88,279.28888,"[array([10.83075761, 16.82674594, 17.29502005,  0.4       ]), array([10.87651065, 16.71159916, 17.35434535,  0.4       ]), array([11.19689899, 16.47565325, 17.54782571,  0.4       ]), array([11.16482252, 16.54354706, 17.71818734,  0.4       ]), array([11.16482252, 16.54354706, 17.71818734,  0.4       ])]",0.028534889221191406
"[12.0, 20.0, 25.0, 0.3]",[ 8.36580159 12.33408165 22.60339321  0.4       ],334.54,240.15565,"[array([ 8.36580159, 12.33408165, 22.60339321,  0.4       ]), array([ 8.36580159, 12.33408165, 22.60339321,  0.4       ]), array([ 8.36580159, 12.33408165, 22.60339321,  0.4       ]), array([ 8.24938848, 12.09404409, 22.70267615,  0.4       ]), array([ 8.24938848, 12.09404409, 22.70267615,  0.4       ])]",0.028465747833251953
"[12.0, 20.0, 25.0, 0.4]",[10.01409943 12.48443344 21.16930134  0.4       ],342.45,278.2076,"[array([10.01409943, 12.48443344, 21.16930134,  0.4       ]), array([10.01409943, 12.48443344, 21.16930134,  0.4       ]), array([10.01409943, 12.48443344, 21.16930134,  0.4       ]), array([10.01409943, 12.48443344, 21.16930134,  0.4       ]), array([10.01409943, 12.48443344, 21.16930134,  0.4       ])]",0.08823680877685547
"[9.0, 12.5, 15.0, 0.3]",[ 8.20708818 10.86525771 15.48406015  0.4       ],247.57,251.45593,"[array([ 8.20708818, 10.86525771, 15.48406015,  0.4       ]), array([ 8.35457659, 10.73450856, 15.55482394,  0.4       ]), array([ 8.        , 10.84014048, 15.66489783,  0.4       ]), array([ 8.        , 10.84014048, 15.66489783,  0.4       ]), array([ 8.567041  , 10.85457832, 15.22574677,  0.4       ])]",0.030533313751220703
"[10.0, 12.5, 22.5, 0.25]",[10.49269833 17.40733486 15.32015861  0.2       ],260.71,261.34323,"[array([10.49269833, 17.40733486, 15.32015861,  0.2       ]), array([10.84725748, 17.05182266, 15.11904512,  0.2       ]), array([10.74760702, 17.13657256, 15.11829787,  0.2       ]), array([10.95862038, 17.05985917, 15.        ,  0.2       ]), array([10.82059462, 17.34655438, 15.3361575 ,  0.2       ])]",0.03356027603149414
