77/192: MAE = 2.2331 ± 1.1754, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
78/192: MAE = 1.5207 ± 1.2821, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
79/192: MAE = 5.5178 ± 2.5791, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
80/192: MAE = 1.9122 ± 1.6187, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
81/192: MAE = 1.2504 ± 1.0346, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
82/192: MAE = 4.9099 ± 2.6007, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
83/192: MAE = 2.6452 ± 1.2966, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
84/192: MAE = 1.1952 ± 0.7659, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
85/192: MAE = 4.7449 ± 2.5587, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
86/192: MAE = 2.4477 ± 1.0603, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
87/192: MAE = 1.7578 ± 1.0019, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
88/192: MAE = 5.7044 ± 3.1833, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
89/192: MAE = 3.2705 ± 2.3819, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
90/192: MAE = 1.5434 ± 0.7991, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
91/192: MAE = 5.3362 ± 2.2142, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
92/192: MAE = 2.0181 ± 0.9750, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
93/192: MAE = 1.2329 ± 1.0393, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
94/192: MAE = 5.6158 ± 2.8828, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
95/192: MAE = 2.3626 ± 2.4625, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
96/192: MAE = 1.7441 ± 1.6092, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
97/192: MAE = 5.6320 ± 3.5254, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
98/192: MAE = 2.7899 ± 2.0812, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
99/192: MAE = 1.6745 ± 1.4161, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
100/192: MAE = 5.9335 ± 3.0210, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
101/192: MAE = 2.6925 ± 1.7052, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
