=== Optimizer Hyperparameter Tuning: Particle Swarm Optimization ===
Total combinations: 192

57/192 | MAE: 0.678 ± 0.724 | RMSE: 0.678 ± 0.724 | R²: 0.999 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
58/192 | MAE: 3.437 ± 6.315 | RMSE: 3.437 ± 6.315 | R²: 0.952 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
59/192 | MAE: 1.669 ± 4.341 | RMSE: 1.669 ± 4.341 | R²: 0.980 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
60/192 | MAE: 0.819 ± 1.420 | RMSE: 0.819 ± 1.420 | R²: 0.997 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
61/192 | MAE: 3.883 ± 7.919 | RMSE: 3.883 ± 7.919 | R²: 0.927 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
62/192 | MAE: 2.420 ± 6.809 | RMSE: 2.420 ± 6.809 | R²: 0.951 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
63/192 | MAE: 1.254 ± 3.962 | RMSE: 1.254 ± 3.962 | R²: 0.984 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
64/192 | MAE: 3.227 ± 6.348 | RMSE: 3.227 ± 6.348 | R²: 0.952 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
65/192 | MAE: 2.241 ± 5.488 | RMSE: 2.241 ± 5.488 | R²: 0.967 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
66/192 | MAE: 1.346 ± 3.350 | RMSE: 1.346 ± 3.350 | R²: 0.988 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
67/192 | MAE: 4.027 ± 8.272 | RMSE: 4.027 ± 8.272 | R²: 0.921 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
68/192 | MAE: 1.377 ± 2.895 | RMSE: 1.377 ± 2.895 | R²: 0.990 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
69/192 | MAE: 0.687 ± 0.600 | RMSE: 0.687 ± 0.600 | R²: 0.999 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
70/192 | MAE: 4.483 ± 7.839 | RMSE: 4.483 ± 7.839 | R²: 0.924 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
71/192 | MAE: 1.524 ± 3.100 | RMSE: 1.524 ± 3.100 | R²: 0.989 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
