52/162: MAE = 18.2636 ± 20.7726, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
53/162: MAE = 18.3749 ± 22.5181, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
54/162: MAE = 16.2332 ± 20.0705, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
55/162: MAE = 7.9319 ± 12.0497, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
56/162: MAE = 8.5621 ± 14.7030, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
57/162: MAE = 6.9209 ± 11.0648, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
58/162: MAE = 7.5559 ± 12.8434, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
59/162: MAE = 6.9594 ± 12.2007, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
60/162: MAE = 6.7451 ± 11.5993, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
61/162: MAE = 11.0681 ± 18.7686, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
62/162: MAE = 11.3224 ± 20.0381, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
63/162: MAE = 11.0932 ± 18.3164, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
64/162: MAE = 10.5601 ± 18.1324, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
65/162: MAE = 9.1642 ± 16.4780, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
66/162: MAE = 10.9384 ± 16.6059, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
67/162: MAE = 13.5633 ± 18.9762, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
68/162: MAE = 15.3854 ± 19.5332, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
69/162: MAE = 13.3722 ± 20.0645, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
70/162: MAE = 15.5506 ± 20.6554, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
71/162: MAE = 14.5678 ± 19.3199, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
72/162: MAE = 16.3452 ± 20.5735, params = {'n_init': 10, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
73/162: MAE = 9.0604 ± 15.4909, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
74/162: MAE = 6.6887 ± 12.0195, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
75/162: MAE = 8.6510 ± 12.7836, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
76/162: MAE = 6.4087 ± 10.5072, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
77/162: MAE = 7.5311 ± 14.8305, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
78/162: MAE = 6.5378 ± 11.9818, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
79/162: MAE = 11.7957 ± 18.3406, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
80/162: MAE = 9.8399 ± 15.7107, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
81/162: MAE = 10.0966 ± 18.5579, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
82/162: MAE = 10.5610 ± 16.8625, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
83/162: MAE = 11.1809 ± 16.9836, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
84/162: MAE = 9.0696 ± 14.2701, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
85/162: MAE = 13.5480 ± 18.4193, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
86/162: MAE = 14.2287 ± 19.6621, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
87/162: MAE = 14.2886 ± 20.6966, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
88/162: MAE = 14.4351 ± 18.8553, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
89/162: MAE = 16.1525 ± 20.4571, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
90/162: MAE = 15.5852 ± 22.0818, params = {'n_init': 10, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
91/162: MAE = 6.9103 ± 13.5597, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
