80/150: MAE = 18.8542 ± 2.3608, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
81/150: MAE = 23.5280 ± 5.1737, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
82/150: MAE = 19.7547 ± 4.4576, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
83/150: MAE = 23.1824 ± 3.0518, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
84/150: MAE = 18.0093 ± 3.2495, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
85/150: MAE = 21.3638 ± 1.4267, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
86/150: MAE = 17.7390 ± 5.7341, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
87/150: MAE = 24.3799 ± 4.3955, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
88/150: MAE = 17.3148 ± 2.8096, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
89/150: MAE = 23.9213 ± 2.2425, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
90/150: MAE = 17.0150 ± 5.1277, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
91/150: MAE = 19.6771 ± 5.3644, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
92/150: MAE = 18.3013 ± 4.8025, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
93/150: MAE = 22.5923 ± 4.3382, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
94/150: MAE = 17.1002 ± 5.1374, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
95/150: MAE = 22.1580 ± 5.5765, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
