real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[10.0, 15.0, 15.0, 0.4]",[10.5647755  18.1941434  22.32933785  0.26603842],277.71,277.5888,"[array([10.5647755 , 18.1941434 , 22.32933785,  0.26603842]), array([11.94424783, 19.22123298, 22.70060047,  0.38462658]), array([10.34538717, 13.56003   , 20.15774518,  0.37899234]), array([10.68201966, 13.26360001, 22.19656587,  0.21196545]), array([10.42914122, 13.03976914, 15.50477986,  0.30822245])]",0.0072367191314697266
"[12.0, 10.0, 25.0, 0.4]",[ 9.7623068  14.38872246 21.38068433  0.32595618],247.13,246.32507,"[array([ 9.7623068 , 14.38872246, 21.38068433,  0.32595618]), array([ 9.5800825 , 10.9915752 , 19.7359193 ,  0.38677658]), array([ 9.04732127, 13.19046363, 20.02102355,  0.28363034]), array([ 9.99556216, 12.24689454, 18.07967567,  0.20325381]), array([ 8.85533343, 13.99287759, 21.22607594,  0.36773775])]",0.007869958877563477
"[12.0, 20.0, 20.0, 0.2]",[10.48077505 17.80392287 21.510254    0.21291276],307.42,279.09235,"[array([10.48077505, 17.80392287, 21.510254  ,  0.21291276]), array([10.15448164, 19.0439864 , 22.19517011,  0.2180501 ]), array([10.00377001, 17.96858256, 16.22559588,  0.24455028]), array([10.13725734, 13.34427198, 16.79752752,  0.23664935]), array([10.88040419, 14.78484125, 16.89389789,  0.21596804])]",0.0071909427642822266
"[12.0, 20.0, 25.0, 0.2]",[10.26300387 18.94392498 15.6108598   0.31750617],321.78,269.9157,"[array([10.26300387, 18.94392498, 15.6108598 ,  0.31750617]), array([11.44524061, 10.29284453, 17.8545674 ,  0.27897477]), array([10.80150625, 13.67735324, 23.10068056,  0.35063396]), array([11.55758513, 14.24817986, 22.48995722,  0.20623444]), array([10.61173355, 10.80843516, 24.78488783,  0.34379489])]",0.00710606575012207
"[10.0, 20.0, 15.0, 0.25]",[ 8.86773869 12.70125466 20.70887773  0.24601752],235.04,227.76573,"[array([ 8.86773869, 12.70125466, 20.70887773,  0.24601752]), array([ 9.91101774, 13.75646793, 21.75173403,  0.35034246]), array([11.52050018, 15.58659249, 17.96333749,  0.22008778]), array([10.97842968, 11.11784405, 16.04598717,  0.21516447]), array([11.94002645, 11.5393048 , 16.30055178,  0.20623805])]",0.007838964462280273
"[10.0, 12.5, 15.0, 0.25]",[10.5739911  16.99291096 15.49632686  0.21987197],258.26,258.10358,"[array([10.5739911 , 16.99291096, 15.49632686,  0.21987197]), array([11.99941203, 13.95564011, 17.82975034,  0.3116997 ]), array([11.86730959, 10.74445511, 23.57794192,  0.38161432]), array([11.29133896, 15.84496385, 22.89503432,  0.28444029]), array([ 9.20132554, 18.19864923, 21.70631147,  0.3455368 ])]",0.007763862609863281
"[9.0, 12.5, 22.5, 0.3]",[ 8.40893969 11.25149541 16.83993963  0.34267423],235.75,238.9722,"[array([ 8.40893969, 11.25149541, 16.83993963,  0.34267423]), array([ 9.18814874, 15.86642927, 24.15999789,  0.29126511]), array([ 8.72687659, 18.02303149, 20.00590468,  0.31636939]), array([ 8.87522741, 16.18990852, 20.09143754,  0.26989887]), array([ 9.62719773, 19.63022473, 16.20106753,  0.22896123])]",0.008004188537597656
"[10.0, 10.0, 20.0, 0.4]",[10.23397128 11.13312268 16.55913355  0.28510021],278.34,264.9079,"[array([10.23397128, 11.13312268, 16.55913355,  0.28510021]), array([10.5093213 , 17.91446746, 24.74562639,  0.28451308]), array([11.73119367, 15.52418407, 19.94690434,  0.26894931]), array([10.19235367, 11.6714153 , 24.8183927 ,  0.30365614]), array([11.55661113, 11.63481055, 24.16456538,  0.32019808])]",0.009483098983764648
"[10.0, 15.0, 20.0, 0.4]",[10.89632857 19.02667355 22.41059508  0.3482443 ],282.39,282.04013,"[array([10.89632857, 19.02667355, 22.41059508,  0.3482443 ]), array([10.81107368, 19.98952891, 20.85304974,  0.33589288]), array([11.48186748, 13.30807935, 17.42933966,  0.39316175]), array([ 9.02675923, 11.4574765 , 19.8342675 ,  0.35441899]), array([ 9.85341892, 11.00116911, 21.03190053,  0.39805141])]",0.00835728645324707
"[10.0, 15.0, 25.0, 0.3]",[11.92222494 19.06700955 18.2994768   0.37059062],278.22,271.18127,"[array([11.92222494, 19.06700955, 18.2994768 ,  0.37059062]), array([10.319475  , 18.92088448, 19.91595173,  0.21257821]), array([10.95991434, 13.43804005, 17.33611515,  0.38538824]), array([10.64363405, 16.43717263, 16.00861487,  0.25688879]), array([11.53831414, 10.12957686, 24.59506149,  0.36828923])]",0.007802724838256836
"[10.0, 20.0, 15.0, 0.3]",[ 9.21464371 10.83861907 16.31448556  0.34005503],244.04,247.43112,"[array([ 9.21464371, 10.83861907, 16.31448556,  0.34005503]), array([ 9.82254913, 16.36503553, 24.514511  ,  0.34253409]), array([11.65067721, 11.17080189, 20.25601108,  0.20561276]), array([ 8.24892991, 17.88468418, 18.61169043,  0.28910497]), array([10.07311963, 11.13757936, 20.33702499,  0.35337709])]",0.008487939834594727
"[10.0, 20.0, 20.0, 0.2]",[10.73200203 11.39959205 19.76913911  0.39822399],285.67,271.9313,"[array([10.73200203, 11.39959205, 19.76913911,  0.39822399]), array([11.68217602, 12.29809696, 15.43390563,  0.39439761]), array([10.86029946, 15.92178283, 15.5818573 ,  0.37730157]), array([10.88724251, 19.91713144, 24.03267797,  0.34692706]), array([11.33612309, 13.83487908, 21.51853487,  0.3030761 ])]",0.007712125778198242
"[10.0, 20.0, 20.0, 0.4]",[11.63428548 18.32575669 19.33684472  0.36563778],280.62,271.18127,"[array([11.63428548, 18.32575669, 19.33684472,  0.36563778]), array([11.36351125, 19.90250713, 24.03313486,  0.30348214]), array([11.57273467, 10.33457421, 17.62609248,  0.27944643]), array([11.7323987 , 13.69981423, 16.13089165,  0.37310997]), array([11.72887314, 16.21666315, 17.87906399,  0.2723671 ])]",0.007353782653808594
"[12.0, 10.0, 15.0, 0.2]",[11.40407805 18.24769735 23.41557689  0.3121933 ],286.23,270.37695,"[array([11.40407805, 18.24769735, 23.41557689,  0.3121933 ]), array([10.9126731 , 10.21098724, 19.44948536,  0.29443578]), array([11.22970022, 13.03901786, 23.9607536 ,  0.3218014 ]), array([11.03524942, 13.6324916 , 24.27152879,  0.20162616]), array([ 8.91430258, 18.12468381, 17.28648807,  0.39753025])]",0.008179903030395508
"[12.0, 10.0, 15.0, 0.4]",[10.9090199  19.02624675 17.43096304  0.36981207],293.41,271.18127,"[array([10.9090199 , 19.02624675, 17.43096304,  0.36981207]), array([10.63951661, 16.99364736, 23.02547097,  0.21602496]), array([10.18489434, 14.420662  , 22.45194169,  0.21300391]), array([ 9.59989129, 13.81513736, 16.00756671,  0.26050891]), array([ 9.59162434, 10.00651789, 20.10606074,  0.30976455])]",0.007428169250488281
"[12.0, 10.0, 20.0, 0.2]",[10.46494072 18.81320086 19.47956007  0.35892388],271.2,271.18127,"[array([10.46494072, 18.81320086, 19.47956007,  0.35892388]), array([10.16218456, 15.01514113, 15.33816938,  0.22466974]), array([11.08889623, 15.38653465, 21.06229756,  0.36820216]), array([ 9.12174312, 11.22938922, 22.59827021,  0.32750336]), array([ 9.51253034, 15.26556904, 19.25060994,  0.28175394])]",0.007580995559692383
"[12.0, 10.0, 20.0, 0.3]",[10.96023871 13.55517263 21.70679599  0.31594639],291.89,265.70633,"[array([10.96023871, 13.55517263, 21.70679599,  0.31594639]), array([10.72247862, 14.95369128, 24.07858269,  0.31186773]), array([11.87679091, 12.88501128, 24.9063116 ,  0.38463717]), array([10.96265241, 14.69852811, 23.23747141,  0.22386127]), array([ 9.89570334, 16.894551  , 16.2998629 ,  0.31104164])]",0.007868289947509766
"[12.0, 10.0, 20.0, 0.4]",[10.52335686 16.39343451 21.44895049  0.34553574],295.93,282.04013,"[array([10.52335686, 16.39343451, 21.44895049,  0.34553574]), array([11.57603586, 16.80989496, 18.47191215,  0.36273219]), array([10.37026376, 14.3370034 , 21.75483253,  0.2270212 ]), array([11.70896825, 12.90309638, 16.34888032,  0.22162495]), array([10.73924607, 19.23244446, 16.95555636,  0.25260027])]",0.007822036743164062
"[12.0, 10.0, 25.0, 0.3]",[ 9.1469611  11.04753584 24.43017079  0.38367465],247.65,238.29271,"[array([ 9.1469611 , 11.04753584, 24.43017079,  0.38367465]), array([ 9.64143535, 16.35496308, 24.15806786,  0.33941904]), array([ 8.33217211, 10.90586171, 15.84972546,  0.24829224]), array([11.46023796, 16.40039204, 22.99101511,  0.29544733]), array([ 8.12652076, 16.46273046, 20.91080112,  0.36716527])]",0.007470130920410156
"[12.0, 15.0, 15.0, 0.4]",[10.58543676 16.16795868 20.50880233  0.33329535],296.79,282.04013,"[array([10.58543676, 16.16795868, 20.50880233,  0.33329535]), array([11.8266035 , 10.01705209, 17.52089173,  0.39663607]), array([10.40396847, 18.6733863 , 24.51240588,  0.25771751]), array([10.5621778 , 14.02280982, 24.11633163,  0.22890538]), array([ 9.69138869, 17.58850151, 17.30055971,  0.31571113])]",0.008564949035644531
"[12.0, 15.0, 20.0, 0.2]",[10.53196073 10.85856149 16.98101612  0.34789365],297.94,271.9313,"[array([10.53196073, 10.85856149, 16.98101612,  0.34789365]), array([10.49505423, 15.06486852, 24.80228306,  0.34173218]), array([11.54986769, 15.03959655, 17.88875962,  0.24945397]), array([11.66397068, 12.52470355, 18.14803242,  0.31027815]), array([11.39506265, 16.06393472, 18.27878244,  0.25593477])]",0.0448908805847168
